order_id,customer_id,product,amount,region,order_date
0ca99bdd-7fc5-43b8-955c-7a1633576fcb,94f32c5f-4314-4e26-b10e-62bd1a07e1c6,Laptop,654.97,Europe,2026-01-06
3445ad9c-308b-48c0-ac78-2c9b628cd135,2fc5fe95-7ecb-43c6-9236-e8d3fc7403aa,Laptop,1306.18,Europe,2026-01-11
fa22aa59-ab4b-4562-ab2d-eb84b5e620ae,7b59ed07-92d2-4145-975b-9228ba28bdfa,Laptop,1764.44,America,2025-08-15
b4a4dc1b-a765-4591-80d0-2ea550e90dfb,643e7b88-f336-4415-994d-571fe29d84e8,Phone,1484.7,Europe,2025-07-26
2269428a-2125-48bb-9621-f55138421f70,9db4a35b-9ec2-400b-98e8-2e42aa463807,Laptop,476.53,Europe,2025-10-29
5634b8d0-0ab1-46af-bbc4-b85ea32d9d80,b1914c47-171e-4037-b41c-297fd3f49b2a,Laptop,1188.6,Africa,2025-06-03
7df86a50-b5ab-464c-8a04-3483e6d321c0,235f20b1-7f03-41ff-8d94-0722b66398d1,Laptop,319.36,America,2025-07-19
30c1cc39-616c-40c6-a095-3776d251edd7,8fcab330-66b2-44ec-acb5-97fed0bb1288,Laptop,922.75,Africa,2025-10-28
2e1cfbee-b1fa-41c3-9a11-7a1262c80461,a19f9c78-0e10-4e8c-b4f1-fb2550c893e7,Laptop,1891.24,Europe,2025-11-25
2fb66330-1579-45f4-9da1-abbd04abfae0,3c585f5e-1cd5-426b-aa89-1a65450535a2,Monitor,689.88,America,2025-05-27
ee5fa448-dc6c-40b9-a8e2-12ddac35ec15,ffe4ec12-f336-4a20-87f3-f7e95d97467d,Tablet,1539.66,Africa,2025-07-29
9b6a2822-0d6f-4547-8b77-822cd7607ab6,8d54c345-75f2-41a3-a5fe-141f08b42939,Monitor,413.93,Europe,2025-07-26
8504cd60-048e-4bcc-af3d-e6ba7c9e686b,b466bf83-a835-47c8-ada0-524c46e8deac,Phone,107.83,Europe,2026-02-01
209f0655-53c4-48ae-bf98-0308473bee6a,eb841169-1308-4dc7-8c50-cb3a20a321b7,Tablet,1207.31,Asia,2025-08-08
b484f988-9ff6-4204-acc4-f1c4c72d97cd,c5fb8dea-a020-4248-81c1-7e4def5e19eb,Monitor,1706.38,America,2025-11-17
ea496922-ebf1-48e4-9373-f1c32a6b069f,bb43bf91-04e8-4428-8be3-b680cf0241b1,Tablet,1312.36,America,2025-06-08
14cd6d12-7ae6-4633-a405-f5b3182d0fd4,48cce61f-c766-441a-8282-fb98310212f4,Monitor,1548.2,Europe,2025-12-23
